"filename", "language", "JavaScript", "JSON", "Environment Variables", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\emreo\Desktop\proje\movie app\models\Quiz.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\Users\emreo\Desktop\proje\movie app\models\adminmodel.js", "JavaScript", 55, 0, 0, 0, 0, 0, 8, 10, 73
"c:\Users\emreo\Desktop\proje\movie app\package-lock.json", "JSON", 0, 3689, 0, 0, 0, 0, 0, 1, 3690
"c:\Users\emreo\Desktop\proje\movie app\package.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 1, 34
"c:\Users\emreo\Desktop\proje\movie app\routes\adminroutes.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\emreo\Desktop\proje\movie app\routes\blogroutes.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\emreo\Desktop\proje\movie app\routes\movieroutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 6, 12
"c:\Users\emreo\Desktop\proje\movie app\routes\quizroutes.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\emreo\Desktop\proje\movie app\server.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 2, 20
"c:\Users\emreo\Desktop\proje\movie app\utils.js", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 5, 18
"Total", "-", 17189, 16489, 6, 142, 21, 38, 76, 415, 34376
